Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.22/dfl/Constant,Constant,0,0.00%,0,0.00%,0,0.00%,0,4
/model.22/dfl/Reshape,Reshape,0,0.00%,2150400,0.82%,0,0.00%,1x64x8400,1x4x16x8400
/model.22/dfl/Transpose,Transpose,0,0.00%,2150400,0.82%,0,0.00%,1x4x16x8400,1x16x4x8400
/model.22/dfl/Softmax,Softmax,19353600,0.40%,2150400,0.82%,0,0.00%,1x16x4x8400,1x16x4x8400
/model.22/dfl/conv/Conv,Conv,537600,0.01%,134464,0.05%,16,0.00%,1x16x4x8400,1x1x4x8400
/model.22/dfl/Constant_1,Constant,0,0.00%,0,0.00%,0,0.00%,0,3
/model.22/dfl/Reshape_1,Reshape,0,0.00%,134400,0.05%,0,0.00%,1x1x4x8400,1x4x8400
/model.22/Shape,Shape,0,0.00%,24,0.00%,0,0.00%,1x4x8400,3
/model.22/Constant_3,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Gather,Gather,0,0.00%,8,0.00%,0,0.00%,3,1
/model.22/Constant_4,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Constant_5,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Add,Add,1,0.00%,8,0.00%,0,0.00%,1,1
/model.22/Constant_6,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Div,Div,4,0.00%,8,0.00%,0,0.00%,1,1
/model.22/Constant_7,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Mul,Mul,1,0.00%,8,0.00%,0,0.00%,1,1
/model.22/Slice,Slice,0,0.00%,67200,0.03%,0,0.00%,1x4x8400,1x2x8400
/model.22/Constant_8,Constant,0,0.00%,0,0.00%,0,0.00%,0,1
/model.22/Mul_1,Mul,1,0.00%,8,0.00%,0,0.00%,1,1
/model.22/Slice_1,Slice,0,0.00%,67200,0.03%,0,0.00%,1x4x8400,1x2x8400
/model.22/Constant_9,Constant,0,0.00%,0,0.00%,0,0.00%,0,1x2x8400
/model.22/Sub,Sub,16800,0.00%,67200,0.03%,0,0.00%,1x2x8400,1x2x8400
/model.22/Constant_10,Constant,0,0.00%,0,0.00%,0,0.00%,0,1x2x8400
/model.22/Add_1,Add,16800,0.00%,67200,0.03%,0,0.00%,1x2x8400,1x2x8400
/model.22/Add_2,Add,16800,0.00%,67200,0.03%,0,0.00%,1x2x8400,1x2x8400
/model.22/Constant_11,Constant,0,0.00%,0,0.00%,0,0.00%,0,0
/model.22/Div_1,Div,67200,0.00%,67200,0.03%,0,0.00%,1x2x8400,1x2x8400
/model.22/Sub_1,Sub,16800,0.00%,67200,0.03%,0,0.00%,1x2x8400,1x2x8400
